,tempogram_x256,tempogram_y256,tempogram_z320,tempogram_y320,tempogram_x320,tempogram_z319,tempogram_y318,tempogram_z318,tempogram_x319,tempogram_y319,tempogram_z255
33,0.5275944415019855,0.479460341790551,1.950532675468054e-09,2.043572129051657e-08,9.16924653230753e-08,2.7823478533006626e-07,4.499835862798157e-06,2.6077078013550697e-06,1.3959908738820392e-06,6.718646305845188e-07,0.6667603769731938
34,0.7009288455859272,0.6862521924226025,2.052357569414545e-09,2.1355553034827195e-08,9.497445268483123e-08,2.864110085183328e-07,4.622189483586108e-06,2.673698713592509e-06,1.4305781268215542e-06,6.893087119601252e-07,0.7658480885793975
35,0.5677618401501103,0.5546242407261169,2.154399782173569e-09,2.239416780055507e-08,9.927922188037054e-08,2.975714080161143e-07,4.646936527117608e-06,2.70975272720745e-06,1.4621453722895031e-06,7.10534911636415e-07,0.6824906453395445
36,0.4680614886573282,0.418495718330756,1.9835873881654908e-09,2.060910635662085e-08,9.144015044922341e-08,2.7482705787238014e-07,4.3302344338709095e-06,2.5224930661114827e-06,1.3584597390711486e-06,6.583245567861925e-07,0.5937312219180947
37,0.4318011060240886,0.3934804130889768,1.884337192851758e-09,1.9575874637556745e-08,8.682542622894801e-08,2.6082129584329426e-07,4.110664630375103e-06,2.394111294451747e-06,1.2890492901750766e-06,6.2463586227346e-07,0.5669754752907842
38,0.4956724059117439,0.4673135805653103,2.0771496240227902e-09,2.1596758748756324e-08,9.583344043889846e-08,2.8768688072077815e-07,4.511270444479783e-06,2.629612461185177e-06,1.4176440044199991e-06,6.880054464070028e-07,0.6259875916077446
39,0.5078423288926183,0.4681877424161193,1.924794187407569e-09,2.0039655073114036e-08,8.921383932951873e-08,2.692627769707616e-07,4.3287723000097644e-06,2.509784221615095e-06,1.3447074257067145e-06,6.482227050610728e-07,0.6211342012688585
40,0.7700721613349948,0.7608956185166688,1.933704940833132e-09,2.007935377443377e-08,8.897603367250161e-08,2.671056969750388e-07,4.245934855138006e-06,2.461565597608471e-06,1.3216258808794924e-06,6.39671074972445e-07,0.8226990874598799
41,0.7540178717763241,0.7474929014611784,1.9330703430867056e-09,2.0182442455093664e-08,9.009646008535767e-08,2.721945934677364e-07,4.412455894918396e-06,2.547631260933875e-06,1.3613606902539406e-06,6.554834470741609e-07,0.8185968055218473
42,0.4620361067029876,0.3943288716452622,1.7784937710641802e-09,1.8555168946253722e-08,8.285266727801186e-08,2.506716538636601e-07,4.033862824650596e-06,2.3401533535116724e-06,1.2540325620601685e-06,6.042528158856046e-07,0.5973933611091952
43,0.5869402745331282,0.553591103977829,2.025177043756997e-09,2.1216192878567303e-08,9.516200842395173e-08,2.886006979872728e-07,4.67111044966027e-06,2.7046605530022862e-06,1.4472615137399427e-06,6.965705569377184e-07,0.7084675743266474
44,0.1522790749183859,0.0925931285274766,8.899655632062814e-10,9.3082521582962e-09,4.156665401680367e-08,1.250109884226399e-07,1.9234340722320138e-06,1.1291224674739016e-06,6.12326502706371e-07,2.984336425775887e-07,0.4481255615489139
45,0.6527940377271987,0.6135075583947256,2.0547310299444824e-09,2.1508764735475163e-08,9.63916433777868e-08,2.921497748209628e-07,4.7090695488753954e-06,2.7287069775423607e-06,1.4617461846764017e-06,7.044171798146935e-07,0.7533732405997906
46,0.577186805756216,0.5829523866886898,2.1585525764489782e-09,2.2398514018052123e-08,9.902819540040855e-08,2.960037179073134e-07,4.609325206227885e-06,2.686828885882023e-06,1.4500416215279658e-06,7.053629983740512e-07,0.6862140206189911
47,0.5471923802011779,0.5017959332684103,2.0273701875020953e-09,2.1170242358796845e-08,9.45773208340358e-08,2.859971370004292e-07,4.588626829276461e-06,2.662642673837041e-06,1.4278623936329915e-06,6.887169902985809e-07,0.6684823245628594
