,lvl0_x0,lvl0_x1,lvl0_x2,lvl0_x3,lvl0_x4,lvl0_x5,lvl0_x6,lvl0_x7,lvl0_x8,lvl0_x9,lvl0_x10,lvl0_x11,lvl0_x12,lvl0_x13,lvl0_x14,lvl0_x15,lvl0_x16,lvl0_x17,lvl0_x18,lvl0_x19,lvl0_x20,lvl0_x21,lvl0_x22,lvl0_x23,lvl0_x24,lvl0_x25,lvl0_x26,lvl0_x27,lvl0_x28,lvl0_x29,lvl0_x30,lvl0_x31,lvl0_x32,lvl0_x33,lvl0_x34,lvl0_x35,lvl0_x36,lvl0_x37,lvl0_x38,lvl0_x39,lvl0_x40,lvl0_x41,lvl0_x42,lvl0_x43,lvl0_x44,lvl0_x45,lvl0_x46,lvl0_x47
0,-0.5921085866235487,-0.622994372195604,-0.6066499914587962,-0.5557239384684813,-0.477982223141964,-0.531519780341962,-0.5532307428616212,-0.43641851087041555,-0.3042990326853414,-0.22071436794269172,-0.0760918180533034,-0.12294304087758424,-0.13046706364857397,-0.09135122311726951,-0.12325430696406735,-0.1346024149246236,-0.2375099492634913,-0.13766567290053836,-0.17007905589034045,-0.20944391624000935,-0.06253212740894112,-0.012293448076461544,-0.008240236615137548,-0.11981313616274587,-0.004838584353416707,-0.02071080445423532,-0.0928068992835711,-0.09664699699650293,-0.19136430148218536,-0.13708032474626866,-0.13459908022186515,-0.01091753427127082,-0.04376652899600422,-0.13092134408611342,-0.061239929750014264,-0.0629154587938227,-0.06445368674931201,-0.16558904093217103,-0.12689352024024758,-0.15378193105612742,-0.1349377786121427,-0.038363869733447034,-0.03227472037759998,-0.021598627619653196,-0.029307423040128216,-0.026902235326893956,-0.026664166670123876,-0.028757304816033714
0,0.07072980650042517,0.096442699712838,0.0777347464709722,0.0038173043322490942,-0.16841000237581114,-0.02421169586663087,-0.06922128930893429,-0.15842177298194998,-0.0822188601739637,-0.14220350485701563,-0.11165590023892843,-0.1453683954493181,0.04196522472130482,-0.03706404222017213,-0.10934320266014325,-0.057258516891872314,-0.04537228523607869,-0.007279521130598031,-0.1073223147826038,-0.0455877103406631,-0.056781788325076216,-0.025476194191971235,0.007916295830847154,0.015342624077004567,-0.0005245032487601095,-0.10540442832607244,-0.009567322471970754,0.003719635260942233,-0.06737751442405157,-0.070220710145181,-0.06902809322599077,-0.061276164570184824,-0.14811503635881368,-0.03581715854500085,-0.0028132523001121188,-0.03915184720146213,-0.05824378986280553,-0.041991301061694956,-0.019537670533473273,-0.05795208291433207,-0.0030514234329592715,-0.042462624230250594,-0.01293621093650498,-0.12840068890316156,-0.014788271712338609,-0.03496032571898535,-0.03907574055663821,-0.03153326019422426
0,-0.04865280531246544,-0.044425117429294954,-0.04768186643717174,-0.06051800500541829,-0.09553614289692496,-0.0424677869669784,-0.10049738599941638,-0.03298846971123125,-0.0872319354481322,-0.07807996601168424,-0.16117089311823196,-0.26554330096852224,-0.39697403757343497,-0.45412118685609376,-0.3547806452432935,-0.37747543393964716,-0.36183993019146443,-0.3617459777462403,-0.32239562951276046,-0.3226030711374831,-0.2658373320494094,-0.056251449908445814,-0.04801172552783383,-0.10719907449514939,-0.12486170120720227,-0.11235237692443972,-0.1406812385319066,-0.23483962841739603,-0.18318409282772105,-0.2178955902913865,-0.25543913356878045,-0.243153502452572,-0.17317215904872557,-0.06258584011656768,-0.09719180229700759,0.03796697344651534,-0.06601229280508587,-0.09624881444827718,-0.048131144912798296,-0.07292363230967332,-0.06703161701307911,-0.17080091378782172,-0.07707610437835953,-0.08628909333169307,0.03089689850697202,0.008547557776697325,0.0031436673669159635,0.005744088856904633
0,0.20711334410174675,0.24306162996022976,0.21464309545418497,0.0968215321615898,-0.1886519713020937,-0.02564427337040425,0.0168728018756861,-0.02872137295318771,-0.12937870805156057,-0.02040366681946825,0.013824538150426287,-0.036717181287199224,-0.04030315064319523,-0.06287733592094304,-0.12109684213399245,-0.18988143321149345,-0.1001314993600068,-0.027846044600972404,-0.006116592921388336,-0.01799610672096218,0.007142303224774409,-0.0010264364719923859,-0.039610680463540604,0.022966680012859706,-0.04674123890416768,-0.10684757994790164,-0.11874645443800692,-0.11041691517660615,-0.05257428533374063,-0.04719246971597385,0.049803213309671746,0.002454462288222448,-0.0708156571840182,-0.05392514752113659,-0.018684623311196275,-0.010382165816419217,-0.12019024326911368,-0.08290114819968268,-0.09248156070435509,-0.01403043915225539,0.038741832067620476,0.047625438384797984,0.007233951612165516,-0.07777963312607396,-0.022844577448187752,-0.020975773619381143,-0.027630307406075597,-0.02867470178805044
0,0.004899867355700853,0.02151916785918519,0.020488167652861818,0.00846341435730602,0.04340614338085132,0.060433409354426655,-0.02992195886572229,-0.03925316409920207,-0.10476779199270156,0.03208090931623282,0.032567402393013575,0.09009838562791449,0.07742535793402781,0.027101316279771775,0.07938593616450014,0.0694064501883332,0.021395966725797695,-0.007732677830215659,-0.005428156494748341,-0.005753779997582066,-0.0007998406197064954,0.1268301700374005,0.062243931869552044,0.03460380843470666,0.03661584505296882,0.12698525389296753,0.13795260143903856,0.013392234327865444,0.014235367248361028,-0.017204414755536163,0.014866461899446404,0.06561474818708261,0.08016635807550793,0.09759626076167703,-0.01245364351955158,0.10281848006508186,0.10604653329200953,0.1084258460450991,0.08270942948503499,0.03368708126859218,0.08080474157755067,0.04400024681442098,0.14295471376519536,0.07215345125738307,0.1557509998490781,0.1264584194509457,0.12947475868930386,0.1430798701870165
0,0.19513835740124208,0.18865840025323805,0.17950355930563397,0.14929041929700254,-0.007461139600628001,0.08779128762829173,0.1205404762594992,0.16992630878767595,0.05315297956265302,0.061471172193465796,0.03239963021351734,0.030863043817143256,0.13560226050783658,0.11053090844594626,0.1152345830658522,-0.008970026732650693,0.12608745894439985,0.15820290815394009,0.15134121616046894,0.159185582380533,0.07447914830013676,0.11921668041207054,0.07638344466818707,0.22386237240990794,0.16601862528405378,0.07404065511970376,0.0954870519873195,0.13736444856486,0.24806834788504029,0.13400596991657399,0.16647874467114437,0.10735117689969802,0.06162926300325341,0.16649947938862814,0.2196420166054005,0.18148177812126598,0.06544334510953544,0.15756565435139425,0.20043416182274668,0.1511593552293792,0.23831539126279158,0.13982992775083278,0.1298808697535932,-0.01130833540541245,0.006864567293174365,0.020969210751548863,0.015782366458498804,0.010062314740075042
0,0.6790071991302955,0.742044035685151,0.6921571181848336,0.48920477178380467,-0.008023110391953853,0.21111299966200311,0.15318198099527217,0.156113851788994,0.1268617979504069,0.18364219703828333,0.1622826257272421,0.22633745224159574,0.17142859181897296,0.1225897582530019,0.13456975394109993,0.17181032209609112,0.24599088303318312,0.1267403963485022,0.18457526012707873,0.16239155258940985,0.12066232498981883,0.24088520768506932,0.21751579430411072,0.2394247688572844,0.12358200277415646,0.17465620199801452,0.14014308944647338,0.1580390700982684,0.2807317662508643,0.25447809717144665,0.2256748341344726,0.2199917929978447,0.30508019026057587,0.31738701929581337,0.22388527609014205,0.2346791650478943,0.20386362293378732,0.23926806097731768,0.1671589175840859,0.3101734476398793,0.2725660021418915,0.24390612533905362,0.1974682151158562,0.22112372862196508,0.14589644646105013,0.14951659667927056,0.15712112106413176,0.1624290896462337
0,0.10153577404790097,0.09355725423787263,0.1099621308136206,0.1627934405938117,0.3474096720504304,0.23411955593435754,0.24865830908059858,0.25259959434262297,0.24157907300333126,0.2197776232507357,0.29865058466628386,0.3100632337155199,0.2548481325703569,0.25586603563656374,0.2576443601348684,0.311002237281472,0.26467849948690764,0.3371194279671538,0.30765713496006714,0.2641285927343516,0.2785571883549332,0.30802341174909176,0.3275269013044592,0.2708404490054,0.27883142469122685,0.24433737939406294,0.26292133566097925,0.25331831897966706,0.33248961782015884,0.32519719604571556,0.28591497215695244,0.3016610878371341,0.27958571819794287,0.3211896502657635,0.23401465784768538,0.35783240147624124,0.33013158201825704,0.24904451118873136,0.2120822083030781,0.2804216834037672,0.280435395505441,0.2695739662885381,0.3026939250978891,0.2798642735321852,0.2533489102438647,0.27293410885870917,0.26875277581602025,0.2580587504406961
0,0.23110159819733528,0.20087394830010835,0.21299328900503003,0.27839498842226235,0.3737543733077039,0.27576083260787454,0.35056821066719357,0.26574298842798566,0.2769841905272037,0.3210781623748576,0.31283333275947683,0.2633192830750787,0.21266506691202927,0.3298191871461022,0.3301056542993465,0.3128926566534707,0.2769976546072901,0.32591508571277467,0.34346411049697406,0.3111220724012081,0.36800399565996667,0.3095037014842898,0.3442560460660693,0.24593642670552937,0.3198508411044664,0.2844707220978113,0.23934031598159317,0.3241615668460266,0.30130776653243246,0.28714844608053197,0.2258038467583119,0.28272580343290005,0.2980948611048753,0.29888220819766553,0.3037560516279602,0.2640717170268523,0.24320167543837687,0.17338403077516665,0.3060720445093686,0.2952341017928275,0.1895760072804784,0.22824605814093865,0.23566658500989127,0.40464797337576464,0.45704845193279187,0.44032611077623174,0.43783070715403954,0.43512685183153466
0,0.3209546819070902,0.3288837227353012,0.3243825616641462,0.30350683004239565,0.26200778054547413,0.29461551377250145,0.24545935305287153,0.1613722620588318,0.29798858873109363,0.26114596833751824,0.26587766714391076,0.24798198624890586,0.15673135753100734,0.18328172288009276,0.1902876301070013,0.2864208842484547,0.2637690876678792,0.20655978939215286,0.2710403528059363,0.2234619715971345,0.13209394673317262,-0.028665670707657357,-0.023551829099083117,-0.1331151686269173,-0.1528373773685732,-0.15880376567604637,-0.028642999389769497,0.2035139730163754,0.16909781084412176,0.275811453025288,0.24967791594567199,0.16023820404059086,0.23506632332513086,0.13006115407630084,0.07409297163080297,0.07783076470447135,0.0958015996486766,0.2202485992922255,0.17796834915374735,0.25675126261233666,0.17852940839839296,0.11726030199576591,0.27794250921235736,0.18801165916424079,0.25110268547040066,0.24744703877755767,0.2419228031969842,0.24158606584933678
