,tempogram_x104,tempogram_y227,tempogram_z374,tempogram_y207
81,1.5028579246794847e-17,9.935458403102528e-18,4.316621685143957e-17,-2.714202594105413e-17
82,4.5016191347799386e-17,2.24703520309193e-17,9.626787104740664e-17,-2.815563796173694e-17
83,3.402353760564447e-17,3.26057968420034e-17,5.043014632415202e-17,-3.1663449771955246e-17
84,1.780281076756294e-17,1.1234309153238649e-17,3.8468636301287673e-17,-1.6181816287082618e-17
85,2.6590706655202746e-17,2.390546781056469e-17,5.2495775075715097e-17,-1.911916426909713e-17
86,2.6063816482177577e-17,3.720891881512979e-17,5.3607548760012384e-17,5.018033319513644e-18
87,7.712112568815287e-17,4.0672038372820666e-17,8.496328163363217e-17,-3.556174509553596e-17
88,3.523049483142416e-17,5.445370078575894e-18,6.381356626607299e-17,-2.127014284998237e-17
89,4.087086158103202e-17,4.043798942083297e-17,7.729351634847103e-17,-2.0663996164650453e-17
90,3.157914833037331e-17,7.002038660203825e-18,5.143246718460185e-17,-2.682375274235411e-17
91,5.970162531717785e-17,3.13165655658521e-17,7.381760903185758e-17,-1.0768981946878709e-17
92,2.85857578619598e-17,3.416930189827652e-17,7.598208248987142e-17,-2.096961131304904e-17
93,3.031612045099909e-17,3.0756823398819184e-17,5.82456902985796e-17,-1.174882937604129e-17
94,2.587525850709686e-17,2.119091098251845e-17,6.944770265863743e-17,-1.2223626352376173e-17
95,2.6741689873122467e-17,2.466653925448836e-17,1.06418880446052e-16,-1.39004456625844e-17
96,2.9257860543411195e-17,3.127318392614041e-17,9.191507033591563e-17,-2.294402127805342e-17
97,2.3650349904613418e-17,1.4558510426838396e-17,3.7424249871418666e-17,2.250156356751899e-18
98,-5.396222261943055e-18,-5.1721706980501985e-18,7.253555392990866e-18,-7.334936504520896e-18
99,4.2588392968965604e-17,2.1942493922130124e-17,6.86209778278504e-17,-2.7914543210556435e-17
100,2.8889411462839727e-17,3.4867809688294217e-17,7.390504055329143e-17,-2.783943599353131e-17
101,5.865892123407477e-17,4.144321419432467e-17,7.667349769751526e-17,-2.3428519626654438e-17
102,1.4680172840718188e-17,8.769716624407593e-18,7.351377785413691e-17,-1.1651215562693296e-17
103,4.00477732722634e-17,1.2289862649353413e-17,6.29028591672424e-17,-2.2211895632099636e-17
104,5.1803290146341905e-17,5.1270282541493416e-18,5.4538413391972277e-17,-1.4244416757833924e-17
105,2.1350798547035308e-17,1.0567411474868498e-17,4.4291483113711615e-17,-7.524471838150887e-18
106,4.475366331080296e-17,3.1486483261915296e-17,6.110677294956091e-17,-1.1715754064325952e-17
107,1.3960010520142936e-17,4.043433822581581e-17,5.795066068545224e-17,-8.024366223329337e-18
108,1.0724839462251385e-17,-1.77834095058769e-17,3.9490887213321306e-17,-1.919138103154158e-17
109,4.1277580513565016e-17,2.3966430367134238e-17,7.722778940031747e-17,-3.140487772657643e-17
110,3.3836849051403185e-17,2.530891715033259e-17,5.1431385394557214e-17,-2.2310732503871042e-17
111,3.1585585757472344e-17,1.9780375446905238e-17,5.706796156105592e-17,-2.4281727245463105e-17
112,2.156863289726863e-17,6.026451828377588e-18,6.971559333977041e-17,-4.4383938139060946e-17
113,3.438202128530456e-17,4.5948537228000376e-17,7.94611551966637e-17,-7.087439948176546e-18
114,3.338430951066577e-17,9.716820027594692e-18,1.0550027993979919e-16,-2.6200821732263066e-17
115,3.153738889511572e-17,1.489245225557258e-17,3.605865775161289e-17,-4.7272415628459523e-17
116,3.095854259815149e-17,2.0603887486789918e-17,4.2817745038156886e-17,-2.259154336586749e-17
117,4.410436371727848e-17,3.5725847935209984e-18,6.5630138464617e-17,-3.2236958213504764e-17
118,1.733669179157774e-17,2.4623620222767548e-17,7.472872474676027e-17,-7.186149895730818e-18
